,Day & Time,car_n 2,car_v_mean 2,truck_n 2,truck_v_mean 2,Y
0,day0 0:0,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
1,day1 1:0,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
2,day1 2:0,1.0,35.55,0.0,0.0,0.0-0.0-0.0-0.0
3,day1 3:0,0.0,0.0,0.0,0.0,1.0-35.55-0.0-0.0
4,day1 4:0,1.0,25.92,0.0,0.0,0.0-0.0-0.0-0.0
5,day1 5:0,2.0,33.84,0.0,0.0,0.0-0.0-0.0-0.0
6,day1 6:0,3.0,25.21,0.0,0.0,3.0-26.26-0.0-0.0
7,day1 7:0,3.0,29.52,0.0,0.0,1.0-26.62-0.0-0.0
8,day1 8:0,4.0,22.77,0.0,0.0,3.0-26.62-0.0-0.0
9,day1 9:0,7.0,18.69,0.0,0.0,3.0-26.89-0.0-0.0
10,day1 10:0,5.0,19.7,1.0,15.32,4.0-29.32-0.0-0.0
11,day1 11:0,6.0,20.42,0.0,0.0,8.0-28.45-0.0-0.0
12,day1 12:0,4.0,33.59,0.0,0.0,6.0-28.97-1.0-23.73
13,day1 13:0,6.0,25.58,1.0,17.94,5.0-28.2-0.0-0.0
14,day1 14:0,5.0,25.93,1.0,17.25,5.0-26.61-0.0-0.0
15,day1 15:0,7.0,20.76,1.0,17.32,3.0-33.21-0.0-0.0
16,day1 16:0,11.0,19.09,0.0,0.0,4.0-19.34-1.0-17.99
17,day1 17:0,6.0,18.44,0.0,0.0,7.0-23.41-1.0-17.38
18,day1 18:0,8.0,15.47,1.0,16.3,9.0-22.33-1.0-17.39
19,day1 19:0,11.0,16.78,0.0,0.0,6.0-19.27-0.0-0.0
20,day1 20:0,7.0,13.74,0.0,0.0,5.0-21.64-1.0-17.98
21,day1 21:0,4.0,14.36,1.0,15.23,8.0-17.54-0.0-0.0
22,day1 22:0,5.0,23.2,0.0,0.0,7.0-18.12-0.0-0.0
23,day1 23:0,6.0,21.33,0.0,0.0,7.0-19.95-1.0-29.0
24,day2 0:0,10.0,22.21,0.0,0.0,10.0-22.15-0.0-0.0
25,day2 1:0,8.0,21.87,0.0,0.0,8.0-24.35-0.0-0.0
26,day2 2:0,10.0,21.39,0.0,0.0,7.0-24.7-0.0-0.0
