,0,1,2,3
day1 10:0,"{'car': {'n': 8, 'v_mean': 25.6, 'v_total': 204.81291197096314}, 'truck': {'n': 1, 'v_mean': 28.86, 'v_total': 28.863807927114948}, 'v_total': 233.6767198980781, 'v_mean': 25.96, 'n': 9}","{'car': {'n': 9, 'v_mean': 19.99, 'v_total': 179.88605486464408}, 'truck': {'n': 1, 'v_mean': 28.86, 'v_total': 28.863807927114948}, 'v_total': 208.74986279175903, 'v_mean': 20.87, 'n': 10}","{'car': {'n': 8, 'v_mean': 19.99, 'v_total': 159.9395401404817}, 'truck': {'n': 1, 'v_mean': 17.25, 'v_total': 17.24783373890147}, 'v_total': 177.1873738793832, 'v_mean': 19.69, 'n': 9}","{'car': {'n': 4, 'v_mean': 27.71, 'v_total': 110.82164268528035}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 110.82164268528035, 'v_mean': 27.71, 'n': 4}"
day1 11:0,"{'car': {'n': 7, 'v_mean': 29.12, 'v_total': 203.8600138947081}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 203.8600138947081, 'v_mean': 29.12, 'n': 7}","{'car': {'n': 10, 'v_mean': 22.51, 'v_total': 225.08516975668257}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 225.08516975668257, 'v_mean': 22.51, 'n': 10}","{'car': {'n': 9, 'v_mean': 19.26, 'v_total': 173.35624319656938}, 'truck': {'n': 1, 'v_mean': 13.54, 'v_total': 13.539886389619955}, 'v_total': 186.89612958618935, 'v_mean': 18.69, 'n': 10}","{'car': {'n': 5, 'v_mean': 26.49, 'v_total': 132.46243245570793}, 'truck': {'n': 1, 'v_mean': 17.95, 'v_total': 17.945689260486194}, 'v_total': 150.40812171619413, 'v_mean': 25.07, 'n': 6}"
day1 12:0,"{'car': {'n': 4, 'v_mean': 29.96, 'v_total': 119.83711441486108}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 119.83711441486108, 'v_mean': 29.96, 'n': 4}","{'car': {'n': 4, 'v_mean': 16.25, 'v_total': 64.98638495771965}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 64.98638495771965, 'v_mean': 16.25, 'n': 4}","{'car': {'n': 9, 'v_mean': 18.66, 'v_total': 167.94154057441006}, 'truck': {'n': 1, 'v_mean': 13.09, 'v_total': 13.086048980358253}, 'v_total': 181.02758955476833, 'v_mean': 18.1, 'n': 10}","{'car': {'n': 10, 'v_mean': 21.03, 'v_total': 210.31363503372515}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 210.31363503372515, 'v_mean': 21.03, 'n': 10}"
day1 13:0,"{'car': {'n': 5, 'v_mean': 25.98, 'v_total': 129.91679963265494}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 129.91679963265494, 'v_mean': 25.98, 'n': 5}","{'car': {'n': 6, 'v_mean': 19.68, 'v_total': 118.08668399180728}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 118.08668399180728, 'v_mean': 19.68, 'n': 6}","{'car': {'n': 8, 'v_mean': 16.34, 'v_total': 130.71471782762308}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 130.71471782762308, 'v_mean': 16.34, 'n': 8}","{'car': {'n': 7, 'v_mean': 21.12, 'v_total': 147.83339587198307}, 'truck': {'n': 1, 'v_mean': 17.58, 'v_total': 17.579703677177125}, 'v_total': 165.4130995491602, 'v_mean': 20.68, 'n': 8}"
day1 14:0,"{'car': {'n': 3, 'v_mean': 39.12, 'v_total': 117.36850863107286}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 117.36850863107286, 'v_mean': 39.12, 'n': 3}","{'car': {'n': 5, 'v_mean': 27.56, 'v_total': 137.77521589818784}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 137.77521589818784, 'v_mean': 27.56, 'n': 5}","{'car': {'n': 8, 'v_mean': 16.8, 'v_total': 134.40816488693463}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 134.40816488693463, 'v_mean': 16.8, 'n': 8}","{'car': {'n': 9, 'v_mean': 21.44, 'v_total': 193.00322460702915}, 'truck': {'n': 1, 'v_mean': 18.27, 'v_total': 18.26658709668602}, 'v_total': 211.26981170371516, 'v_mean': 21.13, 'n': 10}"
day1 15:0,"{'car': {'n': 6, 'v_mean': 30.42, 'v_total': 182.49552603176232}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 182.49552603176232, 'v_mean': 30.42, 'n': 6}","{'car': {'n': 3, 'v_mean': 28.93, 'v_total': 86.7815941542201}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 86.7815941542201, 'v_mean': 28.93, 'n': 3}","{'car': {'n': 5, 'v_mean': 17.74, 'v_total': 88.7221589499772}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 88.7221589499772, 'v_mean': 17.74, 'n': 5}","{'car': {'n': 6, 'v_mean': 19.58, 'v_total': 117.45586258611316}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 117.45586258611316, 'v_mean': 19.58, 'n': 6}"
day1 16:0,"{'car': {'n': 8, 'v_mean': 32.45, 'v_total': 259.5914001618163}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 259.5914001618163, 'v_mean': 32.45, 'n': 8}","{'car': {'n': 8, 'v_mean': 28.73, 'v_total': 229.8305469505931}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 229.8305469505931, 'v_mean': 28.73, 'n': 8}","{'car': {'n': 7, 'v_mean': 18.21, 'v_total': 127.44743221140305}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 127.44743221140305, 'v_mean': 18.21, 'n': 7}","{'car': {'n': 8, 'v_mean': 20.83, 'v_total': 166.67239299770458}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 166.67239299770458, 'v_mean': 20.83, 'n': 8}"
day1 17:0,"{'car': {'n': 10, 'v_mean': 30.45, 'v_total': 304.45518148600627}, 'truck': {'n': 1, 'v_mean': 21.88, 'v_total': 21.881560199569645}, 'v_total': 326.33674168557593, 'v_mean': 29.67, 'n': 11}","{'car': {'n': 9, 'v_mean': 32.16, 'v_total': 289.47296700559843}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 289.47296700559843, 'v_mean': 32.16, 'n': 9}","{'car': {'n': 7, 'v_mean': 18.06, 'v_total': 126.41831608455263}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 126.41831608455263, 'v_mean': 18.06, 'n': 7}","{'car': {'n': 6, 'v_mean': 20.07, 'v_total': 120.4142387228078}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 120.4142387228078, 'v_mean': 20.07, 'n': 6}"
day1 18:0,"{'car': {'n': 11, 'v_mean': 24.78, 'v_total': 272.60850903609753}, 'truck': {'n': 1, 'v_mean': 24.36, 'v_total': 24.36230066693053}, 'v_total': 296.9708097030281, 'v_mean': 24.75, 'n': 12}","{'car': {'n': 9, 'v_mean': 27.0, 'v_total': 243.00359083191705}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 243.00359083191705, 'v_mean': 27.0, 'n': 9}","{'car': {'n': 9, 'v_mean': 20.66, 'v_total': 185.901312725727}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 185.901312725727, 'v_mean': 20.66, 'n': 9}","{'car': {'n': 7, 'v_mean': 21.44, 'v_total': 150.05958448958907}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 150.05958448958907, 'v_mean': 21.44, 'n': 7}"
day1 19:0,"{'car': {'n': 12, 'v_mean': 25.69, 'v_total': 308.31537040726073}, 'truck': {'n': 1, 'v_mean': 41.46, 'v_total': 41.46369683474882}, 'v_total': 349.77906724200955, 'v_mean': 26.91, 'n': 13}","{'car': {'n': 9, 'v_mean': 22.8, 'v_total': 205.15632428097453}, 'truck': {'n': 3, 'v_mean': 26.06, 'v_total': 78.17411273909576}, 'v_total': 283.33043702007035, 'v_mean': 23.61, 'n': 12}","{'car': {'n': 7, 'v_mean': 18.25, 'v_total': 127.73465659476325}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 127.73465659476325, 'v_mean': 18.25, 'n': 7}","{'car': {'n': 9, 'v_mean': 24.72, 'v_total': 222.50770061295975}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 222.50770061295975, 'v_mean': 24.72, 'n': 9}"
day1 20:0,"{'car': {'n': 7, 'v_mean': 29.2, 'v_total': 204.37865177395207}, 'truck': {'n': 1, 'v_mean': 29.67, 'v_total': 29.671849530403133}, 'v_total': 234.0505013043552, 'v_mean': 29.26, 'n': 8}","{'car': {'n': 11, 'v_mean': 22.79, 'v_total': 250.7117431523195}, 'truck': {'n': 1, 'v_mean': 29.67, 'v_total': 29.671849530403133}, 'v_total': 280.3835926827226, 'v_mean': 23.37, 'n': 12}","{'car': {'n': 7, 'v_mean': 16.88, 'v_total': 118.13208807086428}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 118.13208807086428, 'v_mean': 16.88, 'n': 7}","{'car': {'n': 6, 'v_mean': 24.04, 'v_total': 144.24126267297012}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 144.24126267297012, 'v_mean': 24.04, 'n': 6}"
day1 21:0,"{'car': {'n': 4, 'v_mean': 32.58, 'v_total': 130.32225105633557}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 130.32225105633557, 'v_mean': 32.58, 'n': 4}","{'car': {'n': 7, 'v_mean': 23.77, 'v_total': 166.3698410849715}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 166.3698410849715, 'v_mean': 23.77, 'n': 7}","{'car': {'n': 6, 'v_mean': 18.03, 'v_total': 108.17786870427128}, 'truck': {'n': 3, 'v_mean': 17.32, 'v_total': 51.962842822750204}, 'v_total': 160.1407115270215, 'v_mean': 17.79, 'n': 9}","{'car': {'n': 8, 'v_mean': 23.88, 'v_total': 191.0132061270525}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 191.0132061270525, 'v_mean': 23.88, 'n': 8}"
day1 22:0,"{'car': {'n': 3, 'v_mean': 32.4, 'v_total': 97.19090917416405}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 97.19090917416405, 'v_mean': 32.4, 'n': 3}","{'car': {'n': 4, 'v_mean': 24.76, 'v_total': 99.05666963936049}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 99.05666963936049, 'v_mean': 24.76, 'n': 4}","{'car': {'n': 10, 'v_mean': 17.08, 'v_total': 170.82268506799872}, 'truck': {'n': 1, 'v_mean': 15.46, 'v_total': 15.46162480734373}, 'v_total': 186.28430987534244, 'v_mean': 16.93, 'n': 11}","{'car': {'n': 6, 'v_mean': 21.49, 'v_total': 128.9628125018496}, 'truck': {'n': 1, 'v_mean': 18.0, 'v_total': 17.999664659469826}, 'v_total': 146.96247716131944, 'v_mean': 20.99, 'n': 7}"
day1 23:0,"{'car': {'n': 4, 'v_mean': 28.65, 'v_total': 114.60188966994282}, 'truck': {'n': 1, 'v_mean': 22.41, 'v_total': 22.407250063919758}, 'v_total': 137.00913973386258, 'v_mean': 27.4, 'n': 5}","{'car': {'n': 5, 'v_mean': 26.17, 'v_total': 130.87016755119635}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 130.87016755119635, 'v_mean': 26.17, 'n': 5}","{'car': {'n': 6, 'v_mean': 15.15, 'v_total': 90.91989319501782}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 90.91989319501782, 'v_mean': 15.15, 'n': 6}","{'car': {'n': 7, 'v_mean': 18.95, 'v_total': 132.62804339413762}, 'truck': {'n': 2, 'v_mean': 20.22, 'v_total': 40.445938328954156}, 'v_total': 173.07398172309178, 'v_mean': 19.23, 'n': 9}"
